,TOP_RGB,BOTTOM_RGB,path
526,"(115, 89, 87)","(87, 79, 77)",amecaji_images/9_55.webp
527,"(123, 140, 177)","(131, 140, 170)",amecaji_images/9_56.webp
528,"(54, 55, 59)","(152, 151, 160)",amecaji_images/9_57.webp
529,"(60, 68, 91)","(95, 97, 111)",amecaji_images/9_58.webp
530,"(91, 85, 104)","(65, 83, 126)",amecaji_images/9_59.webp
531,"(45, 53, 56)","(81, 76, 73)",amecaji_images/10_0.webp
532,"(79, 76, 70)","(165, 142, 130)",amecaji_images/10_1.webp
533,"(110, 107, 100)","(102, 88, 75)",amecaji_images/10_2.webp
534,"(101, 118, 162)","(169, 152, 139)",amecaji_images/10_3.webp
535,"(69, 64, 54)","(41, 39, 37)",amecaji_images/10_4.webp
536,"(37, 41, 55)","(54, 55, 62)",amecaji_images/10_5.webp
537,"(93, 95, 107)","(101, 103, 118)",amecaji_images/10_6.webp
538,"(91, 114, 143)","(135, 159, 186)",amecaji_images/10_7.webp
539,"(82, 107, 147)","(150, 158, 186)",amecaji_images/10_8.webp
540,"(94, 70, 56)","(55, 59, 69)",amecaji_images/10_9.webp
541,"(147, 150, 149)","(75, 74, 75)",amecaji_images/10_10.webp
542,"(40, 43, 48)","(53, 59, 75)",amecaji_images/10_11.webp
543,"(49, 56, 68)","(59, 55, 55)",amecaji_images/10_12.webp
544,"(75, 78, 95)","(85, 94, 113)",amecaji_images/10_13.webp
545,"(46, 47, 49)","(152, 149, 148)",amecaji_images/10_14.webp
546,"(111, 118, 152)","(94, 84, 90)",amecaji_images/10_15.webp
547,"(90, 87, 81)","(53, 76, 102)",amecaji_images/10_16.webp
548,"(131, 124, 115)","(159, 151, 140)",amecaji_images/10_17.webp
549,"(34, 34, 37)","(52, 59, 54)",amecaji_images/10_18.webp
550,"(111, 109, 117)","(113, 125, 128)",amecaji_images/10_19.webp
551,"(48, 59, 91)","(86, 81, 93)",amecaji_images/10_20.webp
552,"(85, 77, 74)","(99, 81, 86)",amecaji_images/10_21.webp
